No,Category,Pattern_Name,Description,Data_Size,Do,Don't,Code_Good,Code_Bad,Severity,A11y_Note,Performance_Note,Docs_URL
1,Structure,Semantic Table Markup,Use proper <table> <thead> <tbody> <th> for data tables,Any,Use native HTML table elements — screen readers parse them correctly,Use CSS grid/flex to fake a table — SR can't parse it,"<table><thead><tr><th scope='col'>Name</th></tr></thead><tbody>","<div class='grid grid-cols-3'> for tabular data — invisible to SR",Critical,scope='col' on <th>. caption element for table description.,Native tables are the most performant for tabular data.,https://www.w3.org/WAI/tutorials/tables/
2,Structure,Responsive Table — Scroll,Horizontal scroll wrapper for tables on small screens,Any,Wrap table in overflow-x-auto container. Show scroll shadow indicator.,Stack all columns vertically on mobile — loses row context,"<div class='overflow-x-auto' tabindex='0' role='region' aria-label='User data'>","<table class='hidden md:table'> + separate mobile card view — duplicates markup",Medium,tabindex='0' on scroll container for keyboard scrolling,Horizontal scroll is efficient — no DOM duplication,
3,Structure,Responsive Table — Card Stack,Convert each row to a card on mobile screens,Small (<50),Use data-label attributes to show column headers in card view,Card stack for 500+ rows — too many cards to scroll,"<td data-label='Name' class='md:table-cell block before:content-[attr(data-label)]'>","Mobile: show only 2 columns and hide the rest — user loses data",Medium,Each card must be a complete row. Labels visible in card mode.,Only suitable for small datasets. Cards = more DOM than table.,
4,Header,Sticky Header Row,Table header stays visible while scrolling long tables,Large,Use position:sticky on <thead> with top offset for sticky nav,Fixed header that detaches from table — column alignment breaks,"thead { position: sticky; top: 64px; z-index: 10; background: white; }","<div class='fixed'>Header clone</div> — alignment breaks on resize",High,Sticky header keeps column context for all users,CSS sticky is zero-JS and performant. No duplicate DOM.,
5,Header,Sortable Columns,Click column header to sort ascending/descending/none,Any,Show sort indicator arrow. Cycle: none → asc → desc → none.,Sort on server for every click on paginated data — too slow for small sets,"<th aria-sort='ascending'><button>Name ↑</button></th>","<th onclick='sort()'> — th is not interactive; no sort indicator",High,aria-sort='ascending|descending|none' on <th>. Use <button> inside.,Client-side sort for <1000 rows. Server-side for larger sets.,
6,Header,Resizable Columns,Drag column borders to resize column widths,Large,Persist column widths in localStorage per user/table,Reset column widths on every page reload — frustrating,"col.addEventListener('mousedown', startResize); localStorage.set('cols', widths)","Fixed column widths with no resize — data gets truncated",Low,Ensure resize handle has min 44px target and keyboard support,Use CSS resize or column-resize cursor. Minimal performance cost.,
7,Selection,Row Checkbox Selection,Checkboxes for selecting multiple rows for bulk actions,Any,Show selected count + bulk action bar when rows selected,Enable selection but provide no bulk actions — pointless,"<th><input type='checkbox' aria-label='Select all rows' onChange={selectAll}/></th>","<td><input type='checkbox'/></td> with no select-all or bulk actions",Medium,Select-all checkbox in header. aria-label on each checkbox.,Track selection state in Set for O(1) lookup performance.,
8,Selection,Row Click Selection,Click row to select/highlight for detail view,Any,Highlight selected row with distinct background. Show detail panel.,Mix click-to-select with click-to-navigate — confusing,"<tr onClick={select} class={selected ? 'bg-blue-50' : ''} aria-selected={selected}>","<tr onClick={navigate}> sometimes and <tr onClick={select}> other times",Medium,aria-selected='true' on selected row. role='row' implicit in tr.,Event delegation on <tbody> for click handler — don't attach per row.,
9,Filtering,Column Filters,Filter controls in/below each column header,Any,Show filter input/dropdown per filterable column. Show active filter indicators,Hide filters behind modal — user can't see what's filtered,"<th>Status <select onChange={filterCol}><option>All</option><option>Active</option></select></th>","Filters in separate page/modal — user loses table context",High,Announce active filter count via aria-live region,Client-side filter for <1000 rows. Debounce filter input 200ms.,
10,Filtering,Global Search Filter,Single search box filtering across all columns,Any,Debounce 200ms. Highlight matching text in results. Show result count.,Search only one column — user expects global search,"const filtered = rows.filter(r => Object.values(r).some(v => v.includes(query)))","rows.filter(r => r.name.includes(query)) — only searches name column",Medium,Announce result count change via aria-live='polite',Client-side full-text search for <5000 rows. Use worker for larger.,
