No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,SaaS (General),Hero + Features + CTA,Glassmorphism + Flat Design,Trust blue + Accent contrast,Professional + Hierarchy,Subtle hover (200-250ms) + Smooth transitions,"{""if_ux_focused"": ""prioritize-minimalism"", ""if_data_heavy"": ""add-glassmorphism""}",Excessive animation + Dark mode by default,HIGH,light-first+toggle,chatbot+content-gen+recommendation,GDPR+CCPA,4/5 clean structure,LCP<2s; CLS<0.1; INP<150ms
2,Micro SaaS,Minimal & Direct + Demo,Flat Design + Vibrant & Block,Vibrant primary + White space,Bold + Clean typography,Large CTA hover (300ms) + Scroll reveal,"{""if_quick_onboarding"": ""reduce-steps"", ""if_demo_available"": ""feature-interactive-demo""}",Complex onboarding flow + Cluttered layout,HIGH,light-first+toggle,demo-bot+quick-onboarding,GDPR+CCPA,5/5 minimal=perfect AI,LCP<1.5s; CLS<0.05; INP<100ms
3,E-commerce,Feature-Rich Showcase,Vibrant & Block-based,Brand primary + Success green,Engaging + Clear hierarchy,Card hover lift (200ms) + Scale effect,"{""if_luxury"": ""switch-to-liquid-glass"", ""if_conversion_focused"": ""add-urgency-colors""}",Flat design without depth + Text-heavy pages,HIGH,light-first+toggle,recommendation+personalization,GDPR+CCPA+PCI-DSS,4/5 card-grid ideal,LCP<2s; CLS<0.1; INP<100ms
4,E-commerce Luxury,Feature-Rich Showcase,Liquid Glass + Glassmorphism,Premium colors + Minimal accent,Elegant + Refined typography,Chromatic aberration + Fluid animations (400-600ms),"{""if_checkout"": ""emphasize-trust"", ""if_hero_needed"": ""use-3d-hyperrealism""}",Vibrant & Block-based + Playful colors,HIGH,dark-preferred+luxury,ar-try-on+styling-ai,GDPR+CCPA+PCI-DSS,3/5 premium GPU-aware,LCP<2.5s; CLS<0.1; INP<150ms
5,Healthcare App,Social Proof-Focused,Neumorphism + Accessible & Ethical,Calm blue + Health green,Readable + Large type (16px+),Soft box-shadow + Smooth press (150ms),"{""must_have"": ""wcag-aaa-compliance"", ""if_medication"": ""red-alert-colors""}",Bright neon colors + Motion-heavy animations + AI purple/pink gradients,HIGH,light-default+calm-dark,symptom-checker+health-insights,HIPAA+GDPR+SOC2,4/5 accessible structure,LCP<2s; CLS<0.05; INP<100ms
6,Fintech/Crypto,Conversion-Optimized,Glassmorphism + Dark Mode (OLED),Dark tech colors + Vibrant accents,Modern + Confident typography,Real-time chart animations + Alert pulse/glow,"{""must_have"": ""security-badges"", ""if_real_time"": ""add-streaming-data""}",Light backgrounds + No security indicators,HIGH,OLED-dark-default,trading-bot+fraud-detection,PCI-DSS+SOC2+GDPR,5/5 real-time native,LCP<1.5s; CLS<0.05; INP<50ms
7,Education,Feature-Rich Showcase,Claymorphism + Micro-interactions,Playful colors + Clear hierarchy,Friendly + Engaging typography,Soft press (200ms) + Fluffy elements,"{""if_gamification"": ""add-progress-animation"", ""if_children"": ""increase-playfulness""}",Dark modes + Complex jargon,MEDIUM,light-default+fun-dark,tutoring-ai+adaptive-learning,COPPA+FERPA+GDPR,4/5 gamified AI tutor,LCP<2s; CLS<0.1; INP<150ms
8,Portfolio/Personal,Storytelling-Driven,Motion-Driven + Minimalism,Brand primary + Artistic,Expressive + Variable typography,Parallax (3-5 layers) + Scroll-triggered reveals,"{""if_creative_field"": ""add-brutalism"", ""if_minimal_portfolio"": ""reduce-motion""}",Corporate templates + Generic layouts,MEDIUM,dark-preferred+artistic,portfolio-gen+content-suggest,minimal,3/5 artistic limits AI,LCP<2.5s; CLS<0.15; INP<200ms
9,Government/Public,Minimal & Direct,Accessible & Ethical + Minimalism,Professional blue + High contrast,Clear + Large typography,Clear focus rings (3-4px) + Skip links,"{""must_have"": ""wcag-aaa"", ""must_have"": ""keyboard-navigation""}",Ornate design + Low contrast + Motion effects + AI purple/pink gradients,HIGH,light+high-contrast-dark,document-search+form-assist,FedRAMP+WCAG-AAA+508,5/5 structured+safe,LCP<1.5s; CLS<0.05; INP<100ms
10,Fintech (Banking),Trust & Authority,Minimalism + Accessible & Ethical,Navy + Trust Blue + Gold,Professional + Trustworthy,Smooth state transitions + Number animations,"{""must_have"": ""security-first"", ""if_dashboard"": ""use-dark-mode""}",Playful design + Unclear fees + AI purple/pink gradients,HIGH,light+trust-dark,fraud-detect+risk-scoring,PCI-DSS+SOC2+GDPR,5/5 data-dense ideal,LCP<1.5s; CLS<0.05; INP<100ms
11,Social Media App,Feature-Rich Showcase,Vibrant & Block-based + Motion-Driven,Vibrant + Engagement colors,Modern + Bold typography,Large scroll animations + Icon animations,"{""if_engagement_metric"": ""add-motion"", ""if_content_focused"": ""minimize-chrome""}",Heavy skeuomorphism + Accessibility ignored,MEDIUM,dark-option+vibrant,content-rec+moderation-ai,GDPR+CCPA+DSA,3/5 dynamic feeds,LCP<2s; CLS<0.1; INP<100ms
12,Startup Landing,Hero-Centric + Trust,Motion-Driven + Vibrant & Block,Bold primaries + Accent contrast,Modern + Energetic typography,Scroll-triggered animations + Parallax,"{""if_pre_launch"": ""use-waitlist-pattern"", ""if_video_ready"": ""add-hero-video""}",Static design + No video + Poor mobile,HIGH,light-first+toggle,copywriting-ai+ab-testing,GDPR+CCPA,5/5 landing=core AI gen,LCP<1.5s; CLS<0.05; INP<100ms
13,Gaming,Feature-Rich Showcase,3D & Hyperrealism + Retro-Futurism,Vibrant + Neon + Immersive,Bold + Impactful typography,WebGL 3D rendering + Glitch effects,"{""if_competitive"": ""add-real-time-stats"", ""if_casual"": ""increase-playfulness""}",Minimalist design + Static assets,HIGH,dark-default+immersive,npc-ai+matchmaking,COPPA+GDPR,2/5 WebGL complex,LCP<3s; CLS<0.1; INP<200ms
14,Creative Agency,Storytelling-Driven,Brutalism + Motion-Driven,Bold primaries + Artistic freedom,Bold + Expressive typography,CRT scanlines + Neon glow + Glitch effects,"{""must_have"": ""case-studies"", ""if_boutique"": ""increase-artistic-freedom""}",Corporate minimalism + Hidden portfolio,HIGH,dark-preferred+artistic,portfolio-gen+creative-ai,minimal,3/5 brutalist limits,LCP<2.5s; CLS<0.15; INP<200ms
15,Wellness/Mental Health,Social Proof-Focused,Neumorphism + Accessible & Ethical,Calm Pastels + Trust colors,Calming + Readable typography,Soft press + Breathing animations,"{""must_have"": ""privacy-first"", ""if_meditation"": ""add-breathing-animation""}",Bright neon + Motion overload,HIGH,light-calm+warm-dark,mood-tracking+cbt-bot,HIPAA+GDPR+SOC2,4/5 calm therapeutic,LCP<2s; CLS<0.05; INP<100ms
16,Restaurant/Food,Hero-Centric + Conversion,Vibrant & Block-based + Motion-Driven,Warm colors (Orange Red Brown),Appetizing + Clear typography,Food image reveal + Menu hover effects,"{""must_have"": ""high_quality_images"", ""if_delivery"": ""emphasize-speed""}",Low-quality imagery + Outdated hours,HIGH,light-warm+dark-option,menu-rec+ordering-ai,GDPR+CCPA+PCI-DSS,4/5 structured menu,LCP<2s; CLS<0.05; INP<100ms
17,Real Estate,Hero-Centric + Feature-Rich,Glassmorphism + Minimalism,Trust Blue + Gold + White,Professional + Confident,3D property tour zoom + Map hover,"{""if_luxury"": ""add-3d-models"", ""must_have"": ""map-integration""}",Poor photos + No virtual tours,HIGH,light-first+toggle,valuation-ai+virtual-staging,GDPR+CCPA,4/5 map+listings,LCP<2.5s; CLS<0.1; INP<150ms
18,Travel/Tourism,Storytelling-Driven + Hero,Aurora UI + Motion-Driven,Vibrant destination + Sky Blue,Inspirational + Engaging,Destination parallax + Itinerary animations,"{""if_experience_focused"": ""use-storytelling"", ""must_have"": ""mobile-booking""}",Generic photos + Complex booking,HIGH,light+vibrant-dark,itinerary-ai+recommendations,GDPR+CCPA+PCI-DSS,4/5 storytelling+book,LCP<2.5s; CLS<0.1; INP<150ms
19,SaaS Dashboard,Data-Dense Dashboard,Data-Dense + Heat Map,Cool to Hot gradients + Neutral grey,Clear + Readable typography,Hover tooltips + Chart zoom + Real-time pulse,"{""must_have"": ""real-time-updates"", ""if_large_dataset"": ""prioritize-performance""}",Ornate design + Slow rendering,HIGH,dark-preferred+toggle,anomaly-detect+forecasting,SOC2+GDPR+CCPA,5/5 data dashboard,LCP<1.5s; CLS<0.05; INP<50ms
20,B2B SaaS Enterprise,Feature-Rich Showcase,Trust & Authority + Minimal,Professional blue + Neutral grey,Formal + Clear typography,Subtle section transitions + Feature reveals,"{""must_have"": ""case-studies"", ""must_have"": ""roi-messaging""}",Playful design + Hidden features + AI purple/pink gradients,HIGH,light+corporate-dark,sales-ai+crm-intelligence,SOC2+GDPR+CCPA,4/5 enterprise struct,LCP<2s; CLS<0.05; INP<100ms
21,Music/Entertainment,Feature-Rich Showcase,Dark Mode (OLED) + Vibrant & Block-based,Dark (#121212) + Vibrant accents + Album art colors,Modern + Bold typography,Waveform visualization + Playlist animations,"{""must_have"": ""audio-player-ux"", ""if_discovery_focused"": ""add-playlist-recommendations""}",Cluttered layout + Poor audio player UX,HIGH,OLED-dark-default,music-rec+playlist-ai,GDPR+CCPA,3/5 audio niche,LCP<2s; CLS<0.1; INP<100ms
22,Video Streaming/OTT,Hero-Centric + Feature-Rich,Dark Mode (OLED) + Motion-Driven,Dark bg + Poster colors + Brand accent,Bold + Engaging typography,Video player animations + Content carousel (parallax),"{""must_have"": ""continue-watching"", ""if_personalized"": ""add-recommendations""}",Static layout + Slow video player,HIGH,OLED-dark-default,content-rec+watch-party,GDPR+CCPA+COPPA,3/5 video niche,LCP<2.5s; CLS<0.1; INP<150ms
23,Job Board/Recruitment,Conversion-Optimized + Feature-Rich,Flat Design + Minimalism,Professional Blue + Success Green + Neutral,Clear + Professional typography,Search/filter animations + Application flow,"{""must_have"": ""advanced-search"", ""if_salary_focused"": ""highlight-compensation""}",Outdated forms + Hidden filters,HIGH,light-first+toggle,resume-matching+interview-ai,GDPR+CCPA+EEOC,4/5 structured forms,LCP<2s; CLS<0.05; INP<100ms
24,Marketplace (P2P),Feature-Rich Showcase + Social Proof,Vibrant & Block-based + Flat Design,Trust colors + Category colors + Success green,Modern + Engaging typography,Review star animations + Listing hover effects,"{""must_have"": ""seller-profiles"", ""must_have"": ""secure-payment""}",Low trust signals + Confusing layout,HIGH,light-first+toggle,price-suggest+fraud-detect,PCI-DSS+GDPR+CCPA,4/5 card grids good,LCP<2s; CLS<0.1; INP<100ms
25,Logistics/Delivery,Feature-Rich Showcase + Real-Time,Minimalism + Flat Design,Blue (#2563EB) + Orange (tracking) + Green,Clear + Functional typography,Real-time tracking animation + Status pulse,"{""must_have"": ""tracking-map"", ""must_have"": ""delivery-updates""}",Static tracking + No map integration + AI purple/pink gradients,HIGH,light-first+toggle,route-optimize+eta-predict,GDPR+CCPA,5/5 real-time tracking,LCP<1.5s; CLS<0.05; INP<50ms
26,Agriculture/Farm Tech,Feature-Rich Showcase,Organic Biophilic + Flat Design,Earth Green (#4A7C23) + Brown + Sky Blue,Clear + Informative typography,Data visualization + Weather animations,"{""must_have"": ""sensor-dashboard"", ""if_crop_focused"": ""add-health-indicators""}",Generic design + Ignored accessibility + AI purple/pink gradients,MEDIUM,light-first+toggle,crop-predict+pest-detect,GDPR+minimal,4/5 sensor monitoring,LCP<2s; CLS<0.1; INP<150ms
27,Construction/Architecture,Hero-Centric + Feature-Rich,Minimalism + 3D & Hyperrealism,Grey (#4A4A4A) + Orange (safety) + Blueprint Blue,Professional + Bold typography,3D model viewer + Timeline animations,"{""must_have"": ""project-portfolio"", ""if_team_collaboration"": ""add-real-time-updates""}",2D-only layouts + Poor image quality + AI purple/pink gradients,HIGH,light-first+toggle,bim-ai+cost-estimation,SOC2+GDPR,3/5 3D complex,LCP<2.5s; CLS<0.1; INP<200ms
28,Automotive/Car Dealership,Hero-Centric + Feature-Rich,Motion-Driven + 3D & Hyperrealism,Brand colors + Metallic + Dark/Light,Bold + Confident typography,360 product view + Configurator animations,"{""must_have"": ""vehicle-comparison"", ""must_have"": ""financing-calculator""}",Static product pages + Poor UX,HIGH,light+dark-showroom,configurator-ai+financing,GDPR+CCPA+PCI-DSS,3/5 3D specialized,LCP<2.5s; CLS<0.1; INP<200ms
