No,Category,Pattern_Name,Description,Platform,Do,Don't,Code_Good,Code_Bad,Severity,A11y_Note,Performance_Note,Docs_URL
1,Touch,Touch Target Size,Minimum tap target size for interactive elements,Mobile,Minimum 44x44px (iOS) or 48x48dp (Android) for all tap targets.,Use 24px buttons — users miss taps and get frustrated,"<button class='min-h-[44px] min-w-[44px] p-3'>","<button class='p-1 text-xs'> — 20px target; untappable",Critical,WCAG 2.5.5 requires 44x44px minimum for pointer targets.,No performance impact — purely CSS sizing.,https://www.w3.org/WAI/WCAG21/Understanding/target-size
2,Touch,Touch Target Spacing,Minimum spacing between adjacent tap targets,Mobile,Minimum 8px gap between tappable elements to prevent mis-taps.,Stack buttons with no gap — user taps wrong one,"<div class='flex gap-3'><button>Save</button><button>Cancel</button></div>","<div class='flex'><button>Save</button><button>Delete</button></div> — buttons touching; mis-tap = delete",High,Spacing prevents accidental activation of adjacent targets.,Pure CSS. No performance cost.,
3,Touch,Swipe Gestures,Horizontal/vertical swipe for navigation or actions,Mobile,Provide visual affordance for swipeable content. Always offer button alternative.,Swipe-only actions with no visible trigger — undiscoverable,"<div class='relative'><div class='swipe-content'>Item</div><div class='swipe-action bg-red-500'>Delete</div></div> + visible hint chevron","<div onSwipe={delete}>{item}</div> — no visual indicator swipe does anything",High,Swipe actions MUST have button alternative for motor-impaired users.,Use CSS transform for swipe animation — GPU accelerated.,
4,Touch,Long Press Menu,Press and hold to reveal contextual actions,Mobile,Show haptic feedback + action menu after 500ms hold. Cancel on move.,Long press with no visual/haptic feedback — user doesn't know to wait,"navigator.vibrate(10); showMenu(position) // after 500ms hold timer","Long press with 2s delay and no feedback — user gives up at 800ms",Medium,Long press is inaccessible to some users — provide 3-dot menu alternative.,requestAnimationFrame for smooth menu appearance animation.,
5,Touch,Pull to Refresh,Swipe down from top to refresh content,Mobile,Show spinner with pull distance indicator. Haptic on threshold. Debounce.,Trigger refresh on tiny pull — accidental refreshes,"<div onTouchMove={handlePull}>{pullDistance > 60 ? <Spinner/> : <PullIndicator distance={pullDistance}/>}</div>","Any downward touch triggers refresh — user can't scroll up",Medium,Provide accessible refresh button for keyboard/switch users.,Cancel refresh if pull < threshold. Debounce to prevent double.,
6,Layout,Safe Areas,Respect device safe areas (notch/home indicator/status bar),Mobile,Use env(safe-area-inset-*) for content placement. Avoid notch overlap.,"Place content behind notch or home indicator — hidden/clipped","padding-top: env(safe-area-inset-top); padding-bottom: env(safe-area-inset-bottom);","Fixed bottom bar at bottom:0 — hidden behind home indicator on iPhone",Critical,Safe areas ensure all content reachable by all users.,env() is CSS native — zero JS cost. Add viewport-fit=cover meta tag.,https://developer.apple.com/design/human-interface-guidelines/layout
7,Layout,Bottom Sheet,Modal sheet sliding up from bottom — native mobile pattern,Mobile,Allow drag to dismiss. 3 snap points: peek/half/full. Show drag handle.,Full-screen modal on mobile — feels like page navigation,"<div class='fixed bottom-0 rounded-t-2xl' style='transform:translateY({offset}px)'>","<div class='fixed inset-0 bg-white'> — full takeover; feels like new page",High,Focus trap when open. Escape/swipe-down dismisses. aria-modal='true'.,Transform-only animation for 60fps. Don't animate height.,
8,Layout,Edge-to-Edge Content,Full bleed content extending to screen edges on mobile,Mobile,Images and hero sections should go edge-to-edge. Text needs 16px padding.,Pad images same as text — wastes precious mobile screen space,"<img class='w-full'/><div class='px-4'><p>Text content with padding</p></div>","<div class='px-4'><img class='w-full'/></div> — image has unnecessary side padding",Low,Ensure edge-to-edge images have alt text.,Full-width images use less layout calculation than padded.,
9,Layout,Responsive Spacing Scale,Reduce spacing on mobile vs desktop,Mobile,Use responsive spacing: gap-4 md:gap-6 lg:gap-8. Tighter on mobile.,Same large spacing on mobile — wastes 30% of small screen,"<div class='space-y-4 md:space-y-6 lg:space-y-8'>","<div class='space-y-8'> on all breakpoints — too much space on mobile",Medium,Spacing doesn't directly affect a11y but improves usability.,Responsive Tailwind classes are compiled away — zero runtime cost.,
10,Navigation,Bottom Tab Bar,Primary navigation fixed at bottom of screen — thumb-reachable,Mobile,Max 5 tabs. Active state with color + label. Badge for notifications.,More than 5 tabs — target too small. Label all tabs not just active.,"<nav class='fixed bottom-0 safe-area-pb flex justify-around'><a class='flex flex-col items-center'><Icon/><span>Home</span></a></nav>","<nav class='fixed bottom-0'><a><Icon/></a></nav> — icons only; no labels",High,aria-current='page' on active tab. Labels on all tabs always.,Fixed position elements cause repaint on scroll — use will-change:transform.,
11,Navigation,Gesture Navigation Conflict,Avoid conflicts with OS gestures (back swipe/home gesture),Mobile,Don't place interactive elements in OS gesture zones (edges/bottom 34px).,Swipe actions on left/right edges — conflicts with iOS back gesture,"Content area starts 16px from edges; bottom nav above home indicator","Swipeable carousel at left edge — triggers iOS back navigation instead",High,Edge conflicts prevent some users from using features entirely.,No performance concern — purely layout consideration.,
12,Input,Keyboard Optimization,Show correct keyboard type for each input field,Mobile,Use inputMode for numeric/email/url/tel. Set autocapitalize and autocorrect.,Show QWERTY keyboard for phone number field — user switches keyboard,"<input type='email' inputMode='email' autocapitalize='none' autocomplete='email'/>","<input type='text'/> for phone number — shows full QWERTY keyboard",High,Correct input type helps all users including assistive tech.,Zero cost — HTML attributes only.,
13,Input,Form Field Zoom Prevention,Prevent iOS Safari auto-zoom on input focus,Mobile,Set font-size:16px minimum on inputs to prevent iOS zoom on focus.,Small font on inputs — iOS zooms in; user can't zoom out easily,"<input class='text-base' /> /* 16px prevents iOS zoom */","<input class='text-xs' /> /* 12px triggers iOS zoom on focus */",High,Zoom prevention improves experience for all mobile users.,No performance cost. Pure CSS font-size rule.,
