No,Category,Pattern_Name,Description,Flow_Type,Do,Don't,Code_Good,Code_Bad,Severity,A11y_Note,Conversion_Note,Docs_URL
1,Cart,Mini Cart Flyout,Side panel showing cart contents without leaving current page,Cart,Open on 'Add to cart' click. Show item count + total + checkout CTA.,Navigate to full cart page on every add — breaks shopping flow,"<aside class='fixed right-0 w-96' role='dialog' aria-label='Shopping cart'>","<a href='/cart'> on every add — user bounced from browsing",High,Focus trap in flyout. Escape to close. Return focus to trigger.,Mini cart increases conversion 15-25% vs full page redirect.,
2,Cart,Cart Item Card,Individual item row in cart with image + qty + price + remove,Cart,Show product thumbnail + name + selected options + qty selector + line total + remove.,Text-only cart with no images — users confused which items they added,"<div class='flex gap-4'><img class='w-16 h-16'/><div>{name}<br/>Size: M<br/><select>{qty}</select><br/>${price}</div><button aria-label='Remove {name}'>×</button></div>","<li>{name} x{qty} ${price}</li> — no image; no options shown; no remove",Medium,Remove button needs aria-label='Remove {item name}' for context.,Show options (size/color) to reduce returns from wrong variant.,
3,Cart,Quantity Selector,Input for changing item quantity in cart,Cart,Use stepper (+/-) with direct input. Min 1. Update total immediately.,Allow quantity 0 — confusing. Use remove button instead.,"<div class='flex'><button aria-label='Decrease'>-</button><input type='number' min='1' value={qty} aria-label='Quantity'/><button aria-label='Increase'>+</button></div>","<input type='text'> with no min/max — user enters 0 or negative",Medium,aria-label on input and buttons. Announce total change.,Inline quantity update (no save button) reduces friction.,
4,Cart,Cart Summary,Order total breakdown: subtotal + shipping + tax + discount + total,Cart,Show each line item. Update dynamically when coupon/shipping changes.,Show only final total with no breakdown — feels untrustworthy,"<dl><dt>Subtotal</dt><dd>$89.00</dd><dt>Shipping</dt><dd>$5.99</dd><dt>Tax</dt><dd>$7.60</dd><dt class='font-bold'>Total</dt><dd class='font-bold'>$102.59</dd></dl>","<p>Total: $102.59</p> — no breakdown; user doesn't trust the number",High,Use <dl> for definition list. Announce total changes via aria-live.,Price transparency increases checkout completion by 20%.,
5,Cart,Promo Code Input,Coupon/discount code entry field in cart or checkout,Cart,Show input + Apply button. Validate instantly. Show discount amount.,Hide promo code field — users leave site to find codes,"<div class='flex gap-2'><input placeholder='Promo code' aria-label='Promo code'/><button>Apply</button></div><p class='text-green-600'>-$10.00 applied ✓</p>","No promo field visible — users google '[brand] coupon code' and abandon cart",Medium,Announce discount application/error via aria-live.,Visible promo field increases AOV when users have codes.,
6,Checkout,Single Page Checkout,All checkout steps on one scrollable page,Checkout,Sections: Contact → Shipping → Payment → Review. Auto-scroll to next on complete.,Separate page for each step — too many page loads; feels slow,"<section id='contact'>...</section><section id='shipping'>...</section><section id='payment'>...</section>","Multi-page checkout with 5 separate URLs — 30% abandonment per page",Critical,Focus first input of each section. Progress indicator at top.,Single page checkout converts 20-30% higher than multi-page.,
7,Checkout,Guest Checkout,Allow purchase without creating an account,Checkout,Offer guest checkout prominently. 'Create account?' at confirmation only.,Require account creation before checkout — #1 cart abandonment reason,"<button class='w-full bg-black text-white'>Checkout as guest</button><p class='text-sm'>or <a href='/login'>sign in</a></p>","<p>You must create an account to continue.</p> — 35% abandon here",Critical,Guest checkout button is naturally accessible.,Guest checkout reduces abandonment by 35%. Offer account post-purchase.,https://baymard.com/blog/checkout-flow-average-form-fields
8,Checkout,Address Autocomplete,Google Places / address lookup for shipping/billing address,Checkout,Use Places API for autocomplete. Pre-fill city/state/zip from selection.,Manual entry for all 6 address fields — slow and error-prone,"<input type='text' id='address' autocomplete='street-address'/> + Places API suggestion dropdown","6 separate fields with no autocomplete — user types everything manually",High,Autocomplete list as role='listbox'. Selected address fills all fields.,Address autocomplete reduces form time by 40% and errors by 50%.,
9,Checkout,Shipping Method Selector,Radio buttons for choosing shipping speed/carrier,Checkout,Show method name + delivery estimate + price. Pre-select cheapest.,No delivery estimate — user picks blindly,"<fieldset><legend>Shipping method</legend><label><input type='radio' name='shipping' checked/>Standard (5-7 days) — Free</label><label><input type='radio' name='shipping'/>Express (2-3 days) — $12.99</label></fieldset>","<select><option>Standard</option><option>Express</option></select> — no delivery estimates or prices",High,fieldset + legend for grouping. Radio buttons keyboard navigable.,Show delivery date estimate not just 'days' — 'Arrives by March 20'.,
10,Payment,Credit Card Form,Card number + expiry + CVV input fields,Payment,Use single-line card input (Stripe Elements style). Format as user types.,4 separate unformatted inputs — hard to verify card number,"<div id='card-element'/> <!-- Stripe/Braintree hosted field --> + format: 4242 4242 4242 4242","<input type='text' placeholder='Card number'> — no formatting; PCI risk",Critical,Hosted payment fields handle a11y. Label the container.,NEVER handle raw card numbers. Use Stripe/Braintree hosted fields.,https://stripe.com/docs/stripe-js
