No,Category,Pattern_Name,Description,Platform,Do,Don't,Code_Good,Code_Bad,Severity,A11y_Note,Performance_Note,Docs_URL
1,Top Nav,Sticky Header,Fixed header stays visible on scroll — reduces navigation friction,Web,Use sticky header with backdrop blur for depth,Make header too tall (>64px) — steals content space,"<header class='sticky top-0 z-50 bg-white/80 backdrop-blur-md'>","<header style='position:fixed; height:120px'> — takes too much screen",High,Landmark: <nav role='navigation' aria-label='Main'>,backdrop-blur may cause repaint on scroll — test on low-end,
2,Top Nav,Transparent-to-Solid,Header starts transparent over hero then becomes solid on scroll,Web,Transition opacity/bg on scroll with IntersectionObserver,Jump from transparent to solid — feels broken,"observer.observe(hero); header.classList.toggle('bg-white', !entry.isIntersecting)","window.onscroll = () => { if(scrollY > 100) header.style.background = 'white' }",Medium,Ensure contrast meets WCAG in both states,Use IntersectionObserver not scroll events for performance,
3,Top Nav,Mega Menu,Large dropdown showing categorized links with previews,Web,Organize into columns by category with icons and descriptions,Open mega menu on hover only — inaccessible on mobile/touch,"<div role='menu' onMouseEnter={open} onFocus={open}>","<div onMouseOver={open}> — no keyboard or touch support",High,All menu items keyboard-navigable with arrow keys,Lazy load mega menu content on first interaction,
4,Top Nav,Command Palette,Keyboard-driven search overlay (Cmd+K) for power users,Web,Open with Cmd+K shortcut — search pages + actions + settings,Make it the only navigation method — casual users need visual nav,"document.addEventListener('keydown', (e) => { if(e.metaKey && e.key === 'k') openPalette() })","No keyboard shortcut — only accessible via click",Medium,aria-label='Command palette' role='dialog' aria-modal='true',Debounce search input — filter client-side for instant results,
5,Top Nav,Breadcrumbs,Hierarchical path showing user's location in site structure,Web,Show breadcrumbs below header on interior pages,Use breadcrumbs on flat sites with no hierarchy,<nav aria-label='Breadcrumb'><ol><li><a href='/'>Home</a></li>...</ol></nav>,Breadcrumbs with no links — defeats the purpose,Medium,Use aria-current='page' on last item + structured data,Minimal performance cost — render server-side for SEO,https://www.w3.org/WAI/WCAG21/Techniques/general/G65
6,Side Nav,Collapsible Sidebar,Sidebar that expands/collapses between full and icon-only mode,Web/Desktop,Persist collapsed state in localStorage — respect user preference,Auto-collapse without user action — disorienting,"sidebar.classList.toggle('w-64', 'w-16'); localStorage.set('sidebar', state)","Sidebar always full width on desktop — wastes space",High,Icon-only mode needs tooltips with aria-label on each item,Sidebar animation should be <200ms with ease-out curve,
7,Side Nav,Tree Navigation,Nested expandable tree for deep hierarchies (docs/file managers),Web,Show expand/collapse chevrons — highlight active path,Expand all nodes by default — overwhelming,"<ul role='tree'><li role='treeitem' aria-expanded='true'>","<ul><li class='nested'> — no ARIA tree semantics",High,role='tree' + role='treeitem' + aria-expanded required,Virtualize trees with 100+ nodes for smooth performance,
8,Side Nav,Fixed Sidebar + Scrollable Content,Sidebar stays fixed while main content scrolls independently,Web,Use CSS grid with sidebar fixed and content overflow-y:auto,Use position:fixed on sidebar — breaks normal flow,"display:grid; grid-template-columns:250px 1fr; .sidebar{position:sticky;top:0;height:100vh}","position:fixed on sidebar + margin-left on content — fragile layout",Medium,Sidebar and content must be independently scrollable via keyboard,Sticky positioning is more performant than fixed + margin,
9,Mobile Nav,Bottom Tab Bar,iOS/Android style bottom navigation with 3-5 primary destinations,Mobile,Limit to 5 tabs maximum — more causes tiny tap targets,Put more than 5 items — use 'More' tab for overflow,"<nav class='fixed bottom-0 flex justify-around py-2'>","<nav> with 8 tiny bottom tabs — impossible to tap accurately",Critical,Active tab: aria-current='page'. Tab icons need labels.,Fixed bottom bar triggers layout shift — reserve space with pb-safe,
10,Mobile Nav,Hamburger Menu,Three-line icon revealing off-canvas navigation drawer,Mobile/Web,Animate hamburger → X on open. Use <button> not <div>,Use hamburger as only navigation on desktop — hide primary links,"<button aria-expanded={open} aria-controls='nav-drawer' aria-label='Menu'>","<div class='hamburger' onclick='toggle()'> — not a button; no ARIA",High,aria-expanded on trigger. Focus trap when drawer open.,Drawer should slide in with transform not left/right animation,
