No,Category,Pattern_Name,Description,Auth_Type,Do,Don't,Code_Good,Code_Bad,Severity,A11y_Note,Security_Note,Docs_URL
1,Login,Email + Password,Standard email/password login form,Credential,Single column layout. Email first then password. Show/hide password toggle.,"Place login in modal — modals break password managers","<form><label>Email</label><input type='email' autocomplete='email'/><label>Password</label><input type='password' autocomplete='current-password'/></form>","<input placeholder='Email'> — no label; autocomplete missing",Critical,Labels on all inputs. autocomplete attributes for password managers.,Always POST credentials. Never log passwords. Hash server-side with argon2.,
2,Login,Social Login Buttons,OAuth buttons for Google/GitHub/Apple sign-in,OAuth,Show branded buttons with official colors and logos. Social first then divider then email.,Mix social and email fields — confusing. Don't use custom brand colors.,"<button class='bg-white border'>🔵 Continue with Google</button><div>or</div><form>Email login</form>","<button class='bg-blue-500'>Login with G</button> — wrong brand color; unclear",High,Buttons need aria-label='Sign in with Google'. Focus order matches visual.,OAuth tokens stored in httpOnly cookies. Never expose tokens to JS.,https://developers.google.com/identity/branding-guidelines
3,Login,Magic Link,Passwordless login via email link,Passwordless,Show clear instructions: 'Check your email for a login link'. Provide resend option.,Send link without confirmation message — user doesn't know to check email,"<p>✉️ We sent a login link to {email}. Check your inbox.</p><button>Resend in {countdown}s</button>","<p>Link sent.</p> — too brief; no resend option",Medium,Announce confirmation via aria-live polite region.,Magic links expire in 15min. Single-use only. Rate limit sends.,
4,Login,PIN/Passcode Entry,Numeric PIN input for mobile or quick re-auth,PIN,Use individual digit boxes. Auto-advance focus on input. Support paste.,Single text input for PIN — no visual feedback per digit,"<div class='flex gap-2'>{digits.map(i => <input maxLength={1} inputMode='numeric' autoFocus={i===0}/>)}</div>","<input type='text' placeholder='Enter 6-digit PIN'> — no digit boxes",Medium,Each digit input needs aria-label='Digit {n} of 6'. Announce errors.,PIN attempts limited to 5. Lockout after failures. Rate limit API.,
5,Login,Biometric Prompt,Face ID / Touch ID / Fingerprint authentication prompt,Biometric,Show biometric option prominently. Fallback to password always available.,Force biometric only — some devices don't support it,"<button onClick={biometricAuth}>🔐 Use Face ID</button><a href='#password'>Use password instead</a>","Only biometric with no fallback — locks out users on unsupported devices",High,Announce biometric prompt. Provide keyboard-accessible fallback.,WebAuthn/FIDO2 for web biometrics. Never store biometric data.,https://webauthn.guide/
6,Signup,Progressive Signup,Collect info across steps — not all at once,Multi-step,Step 1: Email + Password. Step 2: Name + Profile. Step 3: Preferences.,Ask for 15 fields on one page — users abandon,"<div>Step 1 of 3: Create account</div><input type='email'/><input type='password'/>","<form> with 15 fields + credit card on signup — 80% drop-off",Critical,Announce step changes. Focus first input of each step.,Validate email exists (not taken) before proceeding. Hash password immediately.,
7,Signup,Password Strength Meter,Real-time visual indicator of password strength,Credential,Show strength bar + requirements checklist updating in real-time,Show strength only after submit — too late,"<div class='h-2 rounded'><div class='bg-green-500' style='width:{strength}%'></div></div><ul><li class={hasUpper ? 'text-green-600' : ''}>One uppercase</li></ul>","Validate password only on submit — user gets wall of errors",High,aria-live='polite' on strength indicator. Checklist role='list'.,Enforce min 8 chars + uppercase + digit + special server-side too.,
8,Signup,Email Verification,Post-signup email confirmation flow,Verification,Show clear pending state: 'Verify your email to continue'. Auto-check every 5s.,Allow full access before verification — security risk,"<div>📧 We sent a code to {email}. <input placeholder='Enter 6-digit code'/></div>","Redirect to login after signup — user confused about verification",High,Auto-focus verification input. Announce verification status.,Verification codes expire in 10min. Rate limit resend. Hash codes.,
9,Signup,Terms Acceptance,Checkbox for T&C and privacy policy during signup,Legal,Checkbox with links to terms. Required before submit. Don't pre-check.,Pre-check the terms checkbox — violates GDPR consent rules,"<label><input type='checkbox' required/> I agree to the <a href='/terms'>Terms</a> and <a href='/privacy'>Privacy Policy</a></label>","<input type='checkbox' checked/> — pre-checked consent violates GDPR",Critical,Checkbox label must include the linked text. Focusable links.,Log consent timestamp and IP. Required for GDPR/CCPA compliance.,
10,Recovery,Forgot Password,Password reset request form,Recovery,Ask for email only. Show success message even if email not found (prevent enumeration).,"Tell user 'email not found' — leaks which emails are registered","<p>If an account exists for {email}, you'll receive a reset link.</p>","<p class='text-red-500'>No account found for this email.</p> — reveals registration status",Critical,Announce confirmation via aria-live. Focus management on result.,Same message for found/not-found email. Rate limit to 3 requests/hour.,
11,Recovery,Reset Password Form,New password entry after clicking reset link,Recovery,Two password fields (new + confirm). Strength meter. Auto-login after reset.,Redirect to login after reset — user enters new password twice,"<input type='password' autocomplete='new-password'/><input type='password' autocomplete='new-password'/><button>Reset & Login</button>","<input type='password'/> — no autocomplete; no confirm field",High,Label both fields clearly: 'New password' + 'Confirm new password'.,Reset tokens single-use and expire in 1 hour. Invalidate all sessions.,
12,MFA,TOTP Setup,Time-based one-time password (authenticator app) setup,MFA,Show QR code + manual entry key. Verify with test code before enabling.,Enable MFA without requiring test verification code,"<img src={qrCodeUrl} alt='Scan with authenticator app'/><p>Manual key: {secret}</p><input placeholder='Enter 6-digit code to verify'/>","Enable MFA with no verification step — user locked out if setup wrong",Critical,Alt text for QR. Manual key selectable. Input auto-focused.,Store TOTP secret encrypted. Provide backup codes (10x one-time codes).,
13,MFA,MFA Code Entry,Input screen for 6-digit authenticator code,MFA,Auto-submit on 6th digit. Show countdown to code expiry. Paste support.,Require submit button for 6-digit code — unnecessary click,"<input inputMode='numeric' maxLength={6} onInput={(e) => { if(e.target.value.length === 6) verify() }}/>","<input type='text'/><button>Verify</button> — extra click needed",Medium,aria-label='Enter 6-digit verification code'. Announce errors.,TOTP has 30s window. Accept ±1 window for clock skew. Rate limit attempts.,
14,MFA,Backup Codes Display,Show one-time backup codes after MFA enrollment,MFA,Show 10 codes in grid. Copy all button. Download as txt. Warn: save them now.,Show codes once with no copy/download option — user can't save them,"<div class='grid grid-cols-2 gap-2 font-mono'>{codes.map(c => <span>{c}</span>)}</div><button>📋 Copy all</button><button>💾 Download</button>","<p>{codes.join(', ')}</p> — no copy; hard to read",High,Codes in monospace for readability. Copy button announces success.,Codes stored hashed. Each code single-use. Show used/remaining count.,
15,Session,Session Timeout Warning,Alert before auto-logout due to inactivity,Session,Show modal 2min before timeout: 'Session expires in 2:00. Continue?' with countdown.,Logout without warning — user loses unsaved work,"<dialog><p>Session expires in <time>{countdown}</time></p><button>Continue working</button><button>Logout</button></dialog>","setTimeout(logout, 30*60*1000) — no warning; data lost",High,Modal must be aria-modal with focus trap. Announce countdown.,Reset timeout on any user interaction. Refresh token on 'Continue'.,
16,Session,Active Sessions List,Show all active sessions with device/location info,Session,Show device type + browser + location + last active. Allow remote logout.,No way to see or revoke other sessions — security blind spot,"<table><tr><td>Chrome on Windows — New York — Active now</td><td><button>Revoke</button></td></tr></table>","No session management UI — user can't logout stolen sessions",High,Table with proper headers. Revoke button per session.,Store session metadata (IP + UA + timestamp). Revoke invalidates token.,
17,OAuth,OAuth Consent Screen,Permission grant screen for third-party app authorization,OAuth,Show app name + logo + specific permissions requested. Allow/Deny buttons.,Vague 'Grant access' with no permission details,"<div><img src={appLogo}/><h2>{appName} wants to:</h2><ul><li>Read your profile</li><li>Access your repos</li></ul><button>Allow</button><button>Deny</button></div>","<button>Grant access to ExampleApp</button> — no permission details",Critical,Permission list as semantic <ul>. Buttons clearly labeled.,Only request minimal scopes. Show what data will be shared.,
18,OAuth,Account Linking,Connect existing account with social/OAuth provider,OAuth,Show connected providers with option to connect/disconnect each,Auto-link accounts with same email — security risk,"<div><span>Google: Connected as user@gmail.com</span><button>Disconnect</button></div>","Auto-merge accounts by email — attacker with same email gets access",Critical,Connected status announced. Disconnect confirms with dialog.,Require re-authentication before linking. Verify email ownership.,
19,Onboarding,Welcome Screen,First screen after signup with key next steps,Onboarding,Show 3-4 key actions with progress indicator. Skip option available.,Dump user on empty dashboard after signup — no guidance,"<div><h1>Welcome! Let's get you set up.</h1><ol><li>Complete your profile</li><li>Create your first project</li><li>Invite your team</li></ol><button>Get started</button><a>Skip</a></div>","Redirect to empty dashboard — user confused what to do next",Medium,Heading hierarchy. Progress steps as ordered list.,Track onboarding completion in user profile. Show again if incomplete.,
20,Onboarding,Feature Tour,Guided walkthrough highlighting key UI features,Onboarding,Spotlight one feature at a time. Progress dots. Skip + Next + Back.,Tour blocks all interaction until completed — user trapped,"<div class='spotlight'><p>This is your inbox</p><button>Next (2/5)</button><button>Skip tour</button></div>","Modal tour with 15 steps blocking the UI — user force-quits",Medium,Focus spotlight content. Escape key skips. Announce step number.,Only show tour once. Store completion in localStorage + backend.,
21,Profile,Avatar Upload,Profile photo upload with crop and preview,Profile,Show circular crop tool. Preview before save. Support drag-and-drop + file picker.,Accept any file with no size/type validation — users upload 50MB PNGs,"<input type='file' accept='image/*'/> → crop tool → <img class='w-16 h-16 rounded-full' src={preview}/>","<input type='file'/> with no preview or crop — user uploads wrong file",Medium,input has aria-label. Preview image has alt='Profile photo preview'.,Compress client-side before upload. Max 5MB. Accept jpg/png/webp only.,
22,Profile,Account Deletion,Self-service account deletion flow,Profile,Require password confirmation + type 'DELETE'. Show data impact. 30-day grace period.,Single-click delete with no confirmation — accidental data loss,"<dialog><p>This will permanently delete all your data in 30 days.</p><label>Type DELETE to confirm:</label><input/><input type='password' placeholder='Enter password'/></dialog>","<button onClick={deleteAccount}>Delete Account</button> — one click; no confirmation",Critical,Dialog has aria-modal. Destructive action in red. Focus on first input.,30-day soft delete grace period. Purge after 30 days. Log deletion request.,
23,Error,Login Error Message,Error message for failed login attempt,Error,Show generic 'Invalid email or password'. Don't specify which field is wrong.,Tell user 'password incorrect' or 'email not found' — leaks info,"<div role='alert' class='text-red-600'>Invalid email or password. Please try again.</div>","<div>Incorrect password for user@example.com</div> — confirms email exists",Critical,role='alert' for immediate announcement. Focus error message.,Same error for wrong email and wrong password. Track failed attempts.,
24,Error,Rate Limit Message,Message when user hits login/signup rate limit,Error,Show friendly message with wait time: 'Too many attempts. Try again in 5 minutes.',Generic 'Error' with no explanation — user keeps retrying,"<div role='alert'>Too many attempts. Please wait <time>{minutes}</time> minutes.</div>","<div>Error 429</div> — meaningless to users",Medium,Announce wait time. Disable submit button during cooldown.,429 status + Retry-After header. Exponential backoff on server.,
25,Security,Suspicious Login Alert,Notification when login from new device/location,Security,Email alert with device + location + 'Not you? Secure your account' link.,No notification for new device logins — user unaware of unauthorized access,"<div>New login from Chrome on Windows in Berlin. <a href='/security'>Not you? Secure account</a></div>","No device login notifications — compromised account goes undetected",High,Email must be accessible. Alert link clearly actionable.,Log all login events with IP + UA + geo. Flag anomalies.,
