STT,Category,Icon Name,Keywords,Library,Import Code,Usage,Best For,Style,Size (px),Color Context,Animation,Aria Label,Paired With,Alt Icons
1,Navigation,menu,hamburger menu navigation toggle bars sidebar drawer mobile-nav three-lines collapse expand responsive,Lucide,import { Menu } from 'lucide-react',<Menu />,Mobile nav drawer toggle. Responsive sidebar trigger. Top-left convention.,Outline → Filled on open,24,text-primary | active: text-brand,Morph to X on open (300ms spring). Bars stagger slide-in.,Toggle navigation menu,"x, sidebar, panel-left","AlignJustify, MenuSquare"
2,Navigation,arrow-left,back previous return navigate go-back breadcrumb history,Lucide,import { ArrowLeft } from 'lucide-react',<ArrowLeft />,Back button. Breadcrumb navigation. History return.,Outline,20-24,text-primary | hover: text-brand,Slide left 4px on hover (200ms). Fade-in on mount.,Go back,"arrow-right, chevron-left","ChevronLeft, Undo2, MoveLeft"
3,Navigation,arrow-right,next forward continue navigate proceed cta-arrow,Lucide,import { ArrowRight } from 'lucide-react',<ArrowRight />,Forward/next step CTA. Continue action. Pagination.,Outline,20-24,text-primary | CTA: text-on-brand,Slide right 4px on hover (200ms). Bounce on CTA.,Go forward,"arrow-left, chevron-right","ChevronRight, MoveRight"
4,Navigation,chevron-down,dropdown expand accordion select caret open reveal,Lucide,import { ChevronDown } from 'lucide-react',<ChevronDown />,Dropdown toggle. Accordion header. Select menu indicator.,Outline,16-20,text-secondary | active: text-primary,Rotate 180° to chevron-up (200ms ease). Smooth flip.,Expand menu,"chevron-up, list","ChevronUp, ChevronsDown"
5,Navigation,chevron-up,collapse close accordion minimize fold hide,Lucide,import { ChevronUp } from 'lucide-react',<ChevronUp />,Accordion collapse. Scroll-to-top indicator. Minimize section.,Outline,16-20,text-secondary | active: text-primary,Rotate 180° to chevron-down (200ms ease).,Collapse section,"chevron-down, minus","ChevronDown, ChevronsUp"
6,Navigation,home,homepage main dashboard start landing index,Lucide,import { Home } from 'lucide-react',<Home />,Home navigation. Main landing. Dashboard entry.,Outline → Filled active,20-24,text-primary | active: text-brand,Scale 1→1.1 on active (200ms spring). Subtle bounce.,Go to home page,"layout-dashboard, compass","House, LayoutDashboard"
7,Navigation,x,close cancel dismiss remove exit clear modal-close,Lucide,import { X } from 'lucide-react',<X />,Modal close. Dismiss notification. Clear input. Cancel action.,Outline,16-20,text-secondary | hover: text-error,Rotate 90° on hover (200ms). Scale 0→1 on mount.,Close,"menu, minus, trash-2","XCircle, XOctagon"
8,Navigation,external-link,open new-tab external link outbound redirect,Lucide,import { ExternalLink } from 'lucide-react',<ExternalLink />,External link indicator. Opens in new tab. Outbound URL.,Outline,14-16,text-muted | hover: text-brand,Arrow lifts 2px diagonally on hover (150ms).,Open in new tab,"link, share","ArrowUpRight, ExternalLink"
9,Navigation,chevron-left,back previous navigate panel-collapse,Lucide,import { ChevronLeft } from 'lucide-react',<ChevronLeft />,Panel collapse trigger. Back navigation. Carousel prev.,Outline,16-20,text-secondary,Slide left 2px on hover (150ms).,Go back,"chevron-right, arrow-left","ArrowLeft, ChevronLeft"
10,Navigation,chevron-right,forward next navigate panel-expand,Lucide,import { ChevronRight } from 'lucide-react',<ChevronRight />,Panel expand trigger. Forward nav. Carousel next.,Outline,16-20,text-secondary,Slide right 2px on hover (150ms).,Go forward,"chevron-left, arrow-right","ArrowRight, ChevronRight"
