No	Product Type	Keywords	Primary Style Recommendation	Secondary Styles	Landing Page Pattern	Dashboard Style (if applicable)	Color Palette Focus	Key Considerations	AI Integration Level	Automation Potential	Personalization Depth	Market Maturity	Accessibility Priority
1	SaaS (General)	saas, b2b, cloud, software, subscription, platform	Glassmorphism + Flat Design	Soft UI Evolution, Minimalism	Hero + Features + CTA	Data-Dense + Real-Time Monitoring	Trust blue + accent contrast	Balance modern feel with clarity. Focus on CTAs. Onboarding flows critical.	Moderate	Medium	Behavioral	Mature	Standard
2	Micro SaaS	micro-saas, indie, niche, solo, saas, subscription, lightweight	Flat Design + Vibrant & Block	Motion-Driven, Micro-interactions	Minimal & Direct + Demo	Executive Dashboard	Vibrant primary + white space	Keep simple, show product quickly. Speed is key. Single-purpose clarity.	Basic	Low	Segment-Based	Growing	Standard
3	E-commerce (General)	ecommerce, retail, shop, store, products, buy, sell	Vibrant & Block-based	Aurora UI, Motion-Driven	Feature-Rich Showcase	Sales Intelligence Dashboard	Brand primary + success green	Engagement & conversions. High visual hierarchy. AI-powered recommendations.	Moderate	High	Predictive	Mature	Standard
4	E-commerce Luxury	luxury, ecommerce, premium, high-end, exclusive, retail	Liquid Glass + Glassmorphism	3D & Hyperrealism, Aurora UI	Feature-Rich Showcase	Sales Intelligence Dashboard	Premium colors + minimal accent	Elegance & sophistication. Premium materials. White-glove digital experience.	Moderate	Medium	Behavioral	Mature	Standard
5	Service Landing Page	landing-page, service, conversion, marketing, booking	Hero-Centric + Trust & Authority	Social Proof-Focused, Storytelling	Hero-Centric Design	N/A - Analytics for conversions	Brand primary + trust colors	Social proof essential. Show expertise. Clear value proposition above fold.	Basic	Low	Generic	Mature	Standard
6	B2B Service Platform	b2b, enterprise, corporate, service, consultation, business	Trust & Authority + Minimal	Feature-Rich, Conversion-Optimized	Feature-Rich Showcase	Sales Intelligence Dashboard	Professional blue + neutral grey	Credibility essential. Clear ROI messaging. Case studies and metrics.	Moderate	Medium	Segment-Based	Mature	Standard
7	Financial Dashboard	financial, dashboard, analytics, data, banking, portfolio	Dark Mode (OLED) + Data-Dense	Minimalism, Accessible & Ethical	N/A - Dashboard focused	Financial Dashboard	Dark bg + red/green alerts + trust blue	High contrast, real-time updates, accuracy paramount. Regulatory compliance.	Advanced	High	Behavioral	Mature	Enhanced
8	Analytics Dashboard	analytics, dashboard, data, visualization, metrics, reporting	Data-Dense + Heat Map	Minimalism, Dark Mode (OLED)	N/A - Analytics focused	Drill-Down Analytics + Comparative	Cool-to-hot gradients + neutral grey	Clarity over aesthetics. Color-coded data priority. Drill-down capability.	Advanced	High	Behavioral	Mature	Standard
9	Healthcare App	healthcare, medical, patient, clinic, health, telehealth	Neumorphism + Accessible & Ethical	Soft UI Evolution, Claymorphism	Social Proof-Focused	User Behavior Analytics	Calm blue + health green + trust	Accessibility mandatory. Calming aesthetic. HIPAA compliance. Telehealth-ready.	Moderate	Medium	Behavioral	Growing	Critical
10	Educational App	education, learning, course, school, training, edtech	Claymorphism + Micro-interactions	Vibrant & Block-based, Flat Design	Storytelling-Driven	User Behavior Analytics	Playful colors + clear hierarchy	Engagement & ease of use. Age-appropriate design. Adaptive learning paths.	Moderate	Medium	Behavioral	Growing	Enhanced
