STT	Style Category	Type	Keywords	Primary Colors	Secondary Colors	Effects & Animation	Best For	Do Not Use For	Light Mode ✓	Dark Mode ✓	Performance	Accessibility	Mobile-Friendly	Conversion-Focused	Framework Compatibility	Era/Origin	Complexity	AI Compatibility	Agent-Ready
1	Minimalism & Swiss Style	General	Clean, simple, spacious, functional, white space, high contrast, geometric, sans-serif, grid-based, essential	Monochromatic, Black #000000, White #FFFFFF	Neutral (Beige #F5F1E8, Grey #808080, Taupe #B38B6D), Primary accent	Subtle hover (200-250ms), smooth transitions, sharp shadows if any, clear type hierarchy, fast loading	Enterprise apps, dashboards, documentation, SaaS platforms, professional tools, AI interfaces	Creative portfolios, entertainment, playful brands, artistic experiments	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AAA	✓ High	◐ Medium	Tailwind 10/10, Bootstrap 9/10, MUI 9/10	1950s Swiss + 2020s	Low	High — clean structure ideal for AI content injection	Yes — minimal chrome suits agent UIs
2	Neumorphism	General	Soft UI, embossed, debossed, convex, concave, light source, subtle depth, rounded (12-16px), monochromatic	Light pastels: Soft Blue #C8E0F4, Soft Pink #F5E0E8, Soft Grey #E8E8E8	Tints/shades (±30%), gradient subtlety, color harmony	Soft box-shadow (multiple: -5px -5px 15px, 5px 5px 15px), smooth press (150ms), inner subtle shadow	Health/wellness apps, meditation platforms, fitness trackers, minimal interaction UIs	Complex apps, critical accessibility, data-heavy dashboards, high-contrast required	✓ Full	◐ Partial	⚡ Good	⚠ Low contrast risk	✓ Good	◐ Medium	Tailwind 8/10, CSS-in-JS 9/10	2020s Modern	Medium	Medium — works for form-heavy AI interfaces	Partial — soft aesthetic may conflict with agent status indicators
3	Glassmorphism	General	Frosted glass, transparent, blurred background, layered, vibrant background, light source, depth, multi-layer	Translucent white: rgba(255,255,255,0.1-0.3)	Vibrant: Electric Blue #0080FF, Neon Purple #8B00FF, Vivid Pink #FF1493, Teal #20B2AA	Backdrop blur (10-20px), subtle border (1px solid rgba white 0.2), light reflection, Z-depth layering	Modern SaaS, financial dashboards, high-end corporate, lifestyle apps, modal overlays, spatial computing	Low-contrast backgrounds, critical accessibility, performance-limited devices	✓ Full	✓ Full	⚠ Good (GPU required)	⚠ Ensure 4.5:1 contrast	✓ Good	✓ High	Tailwind 9/10, MUI 8/10, Chakra 8/10	2020s Modern	Medium	High — layered depth works for AI overlays and contextual panels	Yes — glass panels suit floating agent suggestions
4	Brutalism	General	Raw, unpolished, stark, high contrast, plain text, system fonts, visible borders, asymmetric, anti-design	Primary: Red #FF0000, Blue #0000FF, Yellow #FFFF00, Black #000000, White #FFFFFF	Limited: Neon Green #00FF00, Hot Pink #FF00FF, minimal secondary	No smooth transitions (instant), sharp corners (0px), bold typography (700+), visible grid, large blocks	Design portfolios, artistic projects, counter-culture brands, editorial/media, tech blogs	Corporate environments, conservative industries, customer-facing professional	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AAA (inherent)	◐ Medium	✗ Low	Tailwind 10/10, Bootstrap 7/10	1950s Brutalist + 2020s	Low	Low — raw aesthetic conflicts with polished AI interfaces	No — too raw for agent interactions
5	3D & Hyperrealism	General	Depth, realistic textures, 3D models, spatial navigation, tactile, skeuomorphic, rich detail, immersive, WebGPU	Deep Navy #001F3F, Forest Green #228B22, Burgundy #800020, Gold #FFD700, Silver #C0C0C0	Complex gradients (5-10 stops), realistic lighting, shadow variations (20-40% darker)	WebGL/WebGPU/Three.js 3D, realistic shadows, physics lighting, parallax (3-5 layers), smooth 3D (300-400ms)	Gaming, product showcase, immersive experiences, high-end e-commerce, architectural viz, digital twins	Low-end mobile, performance-limited, critical accessibility, data tables/forms	◐ Partial	◐ Partial	❌ Heavy (GPU intensive)	⚠ Not accessible	✗ Low	◐ Medium	Three.js 10/10, R3F 10/10, Babylon.js 10/10	2020s Modern	High	Medium — useful for digital twins and spatial AI visualization	Partial — 3D environments can host spatial agents
6	Vibrant & Block-based	General	Bold, energetic, playful, block layout, geometric shapes, high color contrast, duotone, modern, scroll-snap	Neon Green #39FF14, Electric Purple #BF00FF, Vivid Pink #FF1493, Bright Cyan #00FFFF, Sunburst #FFAA00	Complementary: Orange #FF7F00, Shocking Pink #FF006E, Lime #CCFF00, triadic schemes	Large sections (48px+ gaps), animated patterns, bold hover (color shift), scroll-snap, large type (32px+)	Startups, creative agencies, gaming, social media, youth-focused, entertainment, consumer apps	Financial institutions, healthcare, formal business, government, conservative, elderly	✓ Full	✓ Full	⚡ Good	◐ Ensure WCAG AA	✓ High	✓ High	Tailwind 10/10, Chakra 9/10, Styled 9/10	2020s Modern	Medium	Medium — bold sections work for AI feature showcases	Partial — vibrant blocks suit AI comparison views
7	Dark Mode (OLED)	General	Dark theme, low light, high contrast, deep black, midnight blue, eye-friendly, OLED, power efficient	Deep Black #000000, Dark Grey #121212, Midnight Blue #0A0E27	Vibrant accents: Neon Green #39FF14, Electric Blue #0080FF, Gold #FFD700, Plasma Purple #BF00FF	Minimal glow (text-shadow: 0 0 10px), dark-to-light transitions, high readability, visible focus states	Night-mode apps, coding platforms, entertainment, OLED devices, AI dashboards, monitoring	Print-first content, high-brightness outdoor, color-accuracy-critical	✗ No	✓ Only	⚡ Excellent	✓ WCAG AAA	✓ High	◐ Medium	Tailwind 10/10, MUI 10/10, Chakra 10/10	2020s Modern	Low	High — dark mode is standard for AI dashboards and code tools	Yes — dark mode is default for agent monitoring
8	Accessible & Ethical	General	High contrast, large text (16px+), keyboard navigation, screen reader, WCAG AAA, focus state, semantic, voice nav	WCAG AAA (7:1+ min), simple primary, clear secondary, high luminosity	Symbol-based colors (not color-only), supporting patterns, inclusive combinations	Clear focus rings (3-4px), ARIA labels, skip links, reduced motion, 48x48px touch targets, voice navigation	Government, healthcare, education, inclusive products, legal compliance, public services	None — accessibility is universal	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AAA	✓ High	✓ High	All frameworks 10/10	Universal	Low	Very High — essential for AI accessibility tools and inclusive AI	Yes — accessible patterns are mandatory for all agents
9	Claymorphism	General	Soft 3D, chunky, playful, toy-like, bubbly, thick borders (3-4px), double shadows, rounded (16-24px)	Pastel: Soft Peach #FDBCB4, Baby Blue #ADD8E6, Mint #98FF98, Lilac #E6E6FA	Soft gradients (pastel-to-pastel), light/dark variations (20-30%)	Inner+outer shadows, soft press (200ms ease-out), fluffy elements, smooth bounce transitions	Educational apps, children's apps, creative tools, onboarding, casual games, AI tutoring	Formal corporate, professional services, data-critical, medical, legal, finance	✓ Full	◐ Partial	⚡ Good	⚠ Ensure 4.5:1	✓ High	✓ High	Tailwind 9/10, CSS-in-JS 9/10	2020s Modern	Medium	Medium — playful style suits AI onboarding and gamified learning	Partial — works for educational AI agents
10	Aurora UI	General	Vibrant gradients, smooth blend, Northern Lights, mesh gradient, luminous, atmospheric, iridescent	Complementary: Blue-Orange, Purple-Yellow, Electric Blue #0080FF, Magenta #FF1493, Cyan #00FFFF	Smooth transitions (Blue→Purple→Pink→Teal), iridescent effects, blend modes (screen, multiply)	Large flowing CSS/SVG gradients, subtle 8-12s animations, depth via color layering, smooth morph	Modern SaaS, creative agencies, branding, music platforms, lifestyle, premium products, hero sections	Data-heavy dashboards, critical accessibility, content-heavy where distraction issues	✓ Full	✓ Full	⚠ Good (GPU compositing)	⚠ Text contrast over gradients	✓ Good	✓ High	Tailwind 9/10, CSS-in-JS 10/10	2020s Modern	Medium	Medium — gradient backgrounds work for AI creative tools	Partial — aurora effects suit immersive AI experiences
