No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Installation,Add Nuxt UI module,Install and configure Nuxt UI in your Nuxt project,pnpm add @nuxt/ui and add to modules,Manual component imports,"modules: ['@nuxt/ui']","import { UButton } from '@nuxt/ui'",High,https://ui.nuxt.com/getting-started/installation,not-applicable,none,none,none,standard
2,Installation,Configure color mode,Set up light/dark mode with Nuxt UI,Use built-in color mode integration,Custom dark mode implementation,"colorMode: { preference: 'system' }",Custom CSS dark mode,Medium,https://ui.nuxt.com/getting-started/color-mode,auto-detect,none,none,none,standard
3,Components,Use UButton for actions,Consistent button component with variants,UButton with variant size and color props,Custom button implementations,"<UButton variant='solid' color='primary'>Save</UButton>","<button class='custom-btn'>Save</button>",Medium,https://ui.nuxt.com/components/button,token-based,none,none,agent-aware,standard
4,Components,Use UInput for form inputs,Consistent input styling with validation,UInput with built-in error states,Custom styled inputs,"<UInput v-model='email' type='email' :error='errors.email' />","<input class='custom-input' />",Medium,https://ui.nuxt.com/components/input,token-based,none,basic,agent-aware,standard
5,Components,Use USelect for dropdowns,Built-in select with search and async,USelect with options and search,Custom dropdown implementations,"<USelect v-model='country' :options='countries' searchable />","Custom combobox from scratch",Medium,https://ui.nuxt.com/components/select,token-based,none,none,agent-aware,standard
6,Components,Use UTable for data display,Feature-rich table with sorting pagination,UTable with columns and rows data,Custom table markup,"<UTable :columns='cols' :rows='data' sortable />","<table><tr v-for> from scratch",Medium,https://ui.nuxt.com/components/table,token-based,none,none,agent-aware,standard
7,Components,Use UModal for dialogs,Accessible modal with focus trap,UModal with v-model for open state,Custom modal implementations,"<UModal v-model='isOpen'><template #default>","Custom div with z-index",Medium,https://ui.nuxt.com/components/modal,token-based,none,none,agent-aware,standard
8,Components,Use UNotification for toasts,System-wide notification management,useToast composable for notifications,Custom toast implementations,"useToast().add({ title: 'Saved!', color: 'green' })","Custom toast component",Low,https://ui.nuxt.com/components/notification,token-based,none,none,none,standard
9,Components,Use UCommandPalette for search,Command palette with keyboard navigation,UCommandPalette for app-wide search/commands,Custom search modal,"<UCommandPalette :groups='commands' />","Custom search from scratch",Medium,https://ui.nuxt.com/components/command-palette,token-based,ai-recommended,none,agent-optimized,standard
10,Components,Use UNavigationMenu for nav,Accessible navigation with nested menus,UNavigationMenu with items array,Custom nav markup,"<UNavigationMenu :items='navItems' />","Custom nav with v-for",Medium,https://ui.nuxt.com/components/navigation-menu,token-based,none,none,agent-aware,standard
11,Components,Use UBreadcrumb for hierarchy,Show page location in site hierarchy,UBreadcrumb with items array,Custom breadcrumb markup,"<UBreadcrumb :items='breadcrumbs' />","Custom breadcrumb from scratch",Low,https://ui.nuxt.com/components/breadcrumb,token-based,none,none,none,standard
12,Components,Use UAccordion for collapsible content,Accessible accordion with single/multiple mode,UAccordion with items and slots,Custom expand/collapse logic,"<UAccordion :items='faqs' />","Custom accordion with v-show",Low,https://ui.nuxt.com/components/accordion,token-based,none,none,none,standard
13,Components,Use USlideover for side panels,Slide-out panel for detail views,USlideover for mobile menus and detail panels,Custom positioned div,"<USlideover v-model='isOpen' side='right'>","Custom fixed div with transition",Medium,https://ui.nuxt.com/components/slideover,token-based,none,none,agent-aware,standard
14,Components,Use UContextMenu for right-click,Context menu with keyboard support,UContextMenu for right-click actions,Custom context menu,"<UContextMenu :items='menuItems'>","addEventListener('contextmenu')",Low,https://ui.nuxt.com/components/context-menu,token-based,none,none,agent-aware,standard
15,Components,Use UDropdownMenu for overflow actions,Dropdown for secondary actions,UDropdownMenu for action overflow,Custom positioned dropdown,"<UDropdownMenu :items='actions'>","Custom dropdown with v-show",Medium,https://ui.nuxt.com/components/dropdown-menu,token-based,none,none,agent-aware,standard
16,Components,Use UTooltip for hints,Accessible tooltips for additional info,UTooltip with text prop,Title attribute or custom tooltip,"<UTooltip text='More info'><UButton /></UTooltip>","title='More info'",Low,https://ui.nuxt.com/components/tooltip,token-based,none,none,none,standard
17,Forms,Use UForm for validation,Form component with schema validation,UForm with Zod/Yup/Joi schema,Manual form validation,"<UForm :schema='zodSchema' :state='formState'>","Custom validation in onSubmit",High,https://ui.nuxt.com/components/form,token-based,ai-optional,basic,agent-aware,standard
18,Forms,Use UFormField for field layout,Consistent label + error layout,UFormField wrapping inputs,Custom label + error markup,"<UFormField name='email' label='Email'><UInput /></UFormField>","<label>Email</label><UInput /><span>error</span>",Medium,https://ui.nuxt.com/components/form-field,token-based,none,basic,none,standard
19,Forms,Use UCheckbox and URadio,Accessible checkbox/radio with labels,Built-in components for boolean inputs,Custom checkbox styling,"<UCheckbox v-model='agree' label='I agree' />","Custom styled checkbox",Medium,https://ui.nuxt.com/components/checkbox,token-based,none,basic,none,standard
20,Forms,Use UTextarea for multiline,Consistent textarea with auto-resize,UTextarea with autoresize prop,Custom textarea,"<UTextarea v-model='message' autoresize />","<textarea class='custom'>",Low,https://ui.nuxt.com/components/textarea,token-based,none,none,none,standard
21,Forms,Use UPinInput for OTP/codes,Pin input for verification codes,UPinInput for OTP fields,Custom input-per-digit,"<UPinInput v-model='code' :length='6' />","Multiple single-char inputs",Medium,https://ui.nuxt.com/components/pin-input,token-based,none,basic,none,standard
22,Feedback,Use USkeleton for loading,Skeleton placeholders while loading,USkeleton matching content layout,Spinner for all loading states,"<USkeleton class='h-4 w-48' />","<USpinner /> for everything",Medium,https://ui.nuxt.com/components/skeleton,token-based,none,none,none,standard
23,Feedback,Use UProgress for operations,Progress bar for determinate operations,UProgress with value prop,No progress indication,"<UProgress :value='uploadProgress' />","No feedback during upload",Medium,https://ui.nuxt.com/components/progress,token-based,none,none,agent-aware,standard
24,Feedback,Use UAlert for messages,Alert component for important messages,UAlert with color and icon,Custom styled alerts,"<UAlert title='Warning' color='yellow' icon='i-heroicons-exclamation' />","Custom div with yellow background",Low,https://ui.nuxt.com/components/alert,token-based,none,none,none,standard
25,Data,Use UPagination for lists,Consistent pagination component,UPagination with total and page-count,Custom pagination buttons,"<UPagination v-model='page' :total='total' :page-count='10' />","Custom prev/next buttons",Medium,https://ui.nuxt.com/components/pagination,token-based,none,none,agent-aware,standard
26,Data,Use UBadge for status labels,Color-coded status indicators,UBadge with color and variant,Custom span styling,"<UBadge color='green'>Active</UBadge>","<span class='status-active'>",Low,https://ui.nuxt.com/components/badge,token-based,ai-optional,none,none,standard
27,Data,Use UChip for counts,Notification dots and counters,UChip wrapping icons/avatars for indicators,Custom positioned counter,"<UChip :text='3'><UAvatar /></UChip>","Custom absolute-positioned badge",Low,https://ui.nuxt.com/components/chip,token-based,none,none,none,standard
28,Navigation,Use UTabs for content switching,Accessible tab navigation,UTabs with items array,Custom tab implementation,"<UTabs :items='tabs' />","Custom tab buttons with v-if",Medium,https://ui.nuxt.com/components/tabs,token-based,none,none,agent-aware,standard
29,Theme,Use app.config for theme customization,Centralized theme configuration,app.config.ts for Nuxt UI theme overrides,Scattered CSS overrides,"export default defineAppConfig({ ui: { primary: 'blue' } })","CSS overrides everywhere",High,https://ui.nuxt.com/getting-started/theme,token-based,none,none,agent-aware,standard
30,Theme,Use design tokens consistently,CSS variables from Nuxt UI,Reference Nuxt UI CSS tokens directly,Hardcoded values,"text-primary bg-primary/10","text-blue-500 bg-blue-50",Medium,,token-based,none,none,agent-aware,standard
31,Theme,Support dark mode out of box,Nuxt UI has built-in dark mode,Leverage automatic dark mode support,Override dark mode defaults,Components auto-adapt to dark mode,Custom dark mode overrides,Medium,,auto-detect,none,none,none,standard
32,AI Chat,Use UChatMessage for AI chat,Chat message component for AI interfaces,UChatMessage for chat-style AI UIs,Custom chat bubbles,"<UChatMessage :content='msg' :ai='true' />","Custom div for each message",Medium,https://ui.nuxt.com/components/chat-message,token-based,ai-native,basic,agent-native,standard
33,AI Chat,Use UChatPrompt for input,Chat prompt input with actions,UChatPrompt for AI chat input area,Custom textarea for chat,"<UChatPrompt v-model='input' @submit='send' />","<textarea @keydown.enter>",Medium,https://ui.nuxt.com/components/chat-prompt,token-based,ai-native,basic,agent-native,standard
34,AI Chat,Stream AI responses progressively,Show AI output as it generates,Streaming rendering with UChatMessage,Wait for complete response,"<UChatMessage :content='streamedText' streaming />","await fullResponse then render",High,,not-applicable,ai-native,basic,agent-native,critical
35,Content,Use UContentToc for table of contents,Auto-generated table of contents,UContentToc for documentation pages,Custom TOC parsing,"<UContentToc :links='toc' />","Custom heading scraping",Low,https://ui.nuxt.com/components/content-toc,token-based,none,none,none,standard
36,Content,Use UPageHeader for page headers,Consistent page title and description,UPageHeader for top of pages,Custom heading markup,"<UPageHeader title='Settings' description='Manage your account' />","<h1>Settings</h1><p>Manage",Low,,token-based,none,none,none,standard
37,Accessibility,Use built-in a11y features,Nuxt UI components are accessible by default,Leverage built-in ARIA and keyboard support,Override or remove a11y attributes,Default component behavior,"aria-hidden='true' on interactive elements",High,,not-applicable,none,none,none,standard
38,Accessibility,Use icon + label pattern,Icons alone are insufficient,Combine icon with visible or sr-only text,Icon-only buttons without labels,"<UButton icon='i-heroicons-trash' label='Delete' />","<UButton icon='i-heroicons-trash' />",Medium,,not-applicable,none,none,none,standard
39,Privacy,Show consent UI inline,Privacy consent in context,Use UAlert or UModal for consent,Hidden consent flows,"<UAlert>We use cookies <UButton>Accept</UButton></UAlert>",No consent UI,High,,not-applicable,none,gdpr-ready,agent-aware,standard
40,Agent,Stable test IDs on components,AI agents need consistent selectors,Add data-testid to key UI elements,Dynamic IDs only,"data-testid='create-project-btn'",No test selectors,Medium,,not-applicable,ai-native,none,agent-native,standard
