No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Installation,Use CLI for component installation,Install components using npx shadcn,npx shadcn@latest add for components,Manual copy-paste of source,"npx shadcn@latest add button","Copy component source manually",High,https://ui.shadcn.com/docs/cli,not-applicable,none,none,none,standard
2,Installation,Initialize project properly,Set up shadcn with proper config,npx shadcn@latest init for project setup,Manual tailwind/component setup,"npx shadcn@latest init","Manual components.json creation",High,https://ui.shadcn.com/docs/installation,not-applicable,none,none,none,standard
3,Installation,Use the right framework adapter,shadcn supports multiple frameworks,Choose correct init for your framework,Wrong framework components,"npx shadcn@latest init (auto-detects)","Copy React components into Vue",High,,not-applicable,none,none,none,standard
4,Components,Customize components after install,Components are yours to modify,Edit installed component source directly,Avoid modifying installed components,"Edit components/ui/button.tsx freely","Don't touch installed files",Medium,https://ui.shadcn.com/docs/components/button,not-applicable,none,none,agent-aware,standard
5,Components,Use component variants,Consistent styling via variant props,variant and size props for styling,Custom className for each usage,"<Button variant='destructive' size='sm'>","<Button className='bg-red-500 px-2'>",Medium,,token-based,none,none,agent-aware,standard
6,Components,Use compound components,Compose complex UI from primitives,Combine Card + CardHeader + CardContent,Monolithic custom components,"<Card><CardHeader><CardTitle>...</CardTitle></CardHeader></Card>","<div className='card-custom'>",Medium,,not-applicable,none,none,agent-aware,standard
7,Theme,Configure CSS variables,Theme via CSS custom properties,CSS variables in globals.css for theming,Hardcoded Tailwind colors,"--primary: 222.2 47.4% 11.2%","bg-blue-500 directly",High,https://ui.shadcn.com/docs/theming,token-based,none,none,agent-aware,standard
8,Theme,Support dark mode properly,Light/dark via class strategy or system,dark class or media strategy for dark mode,No dark mode or custom implementation,"@layer base { :root { --bg: 0 0% 100% } .dark { --bg: 222 84% 5% } }","Separate dark.css file",High,,auto-detect,none,none,none,standard
9,Theme,Use consistent spacing,Design token spacing values,Tailwind spacing scale with CSS vars,Arbitrary pixel values,"className='p-4 gap-6'","className='p-[13px] gap-[22px]'",Medium,,not-applicable,none,none,none,standard
10,Forms,Use Form component with react-hook-form,Type-safe form validation,Form + FormField + zodResolver pattern,Custom form handling,"<Form {...form}><FormField control={form.control} name='email' />","Custom onChange + state management",High,https://ui.shadcn.com/docs/components/form,not-applicable,ai-optional,basic,agent-aware,standard
11,Forms,Use FormItem for layout,Consistent form field layout,FormItem wrapping FormLabel + FormControl + FormMessage,Custom label/error layout,"<FormItem><FormLabel /><FormControl>...</FormControl><FormMessage /></FormItem>","<div><label /><input /><span>error</span></div>",Medium,,not-applicable,none,basic,none,standard
12,Forms,Use Select for dropdowns,Accessible select with search,Select component with SelectTrigger + SelectContent,Native HTML select,"<Select><SelectTrigger><SelectValue /></SelectTrigger><SelectContent>","<select><option>",Medium,https://ui.shadcn.com/docs/components/select,token-based,none,none,agent-aware,standard
13,Forms,Use Combobox for searchable lists,Autocomplete with Command component,Command + Popover for searchable select,Custom autocomplete,"<Popover><Command><CommandInput /><CommandList>","Custom search dropdown",Medium,https://ui.shadcn.com/docs/components/combobox,token-based,ai-optional,none,agent-aware,standard
14,Data,Use DataTable for complex tables,Tanstack Table integration,DataTable component with sorting/filtering,Custom table markup,"<DataTable columns={columns} data={data} />","<table><thead> from scratch",Medium,https://ui.shadcn.com/docs/components/data-table,token-based,none,none,agent-aware,standard
15,Data,Use Skeleton for loading,Placeholder loading component,Skeleton matching content layout,Spinner for all loading states,"<Skeleton className='h-4 w-[250px]' />","<Spinner /> for everything",Medium,https://ui.shadcn.com/docs/components/skeleton,token-based,none,none,none,standard
16,Data,Use Badge for status,Color-coded status indicators,Badge with variant for status,Custom span styling,"<Badge variant='destructive'>Error</Badge>","<span className='text-red-500'>Error</span>",Low,https://ui.shadcn.com/docs/components/badge,token-based,ai-optional,none,none,standard
17,Navigation,Use NavigationMenu for site nav,Accessible main navigation,NavigationMenu with NavigationMenuList,Custom nav markup,"<NavigationMenu><NavigationMenuList>","<nav><ul> from scratch",Medium,https://ui.shadcn.com/docs/components/navigation-menu,token-based,none,none,agent-aware,standard
18,Navigation,Use Sidebar for app shell,Collapsible sidebar navigation,Sidebar component for app layouts,Custom sidebar implementation,"<SidebarProvider><Sidebar>...","<aside className='w-64'>",Medium,https://ui.shadcn.com/docs/components/sidebar,token-based,none,none,agent-aware,standard
19,Navigation,Use Breadcrumb for hierarchy,Page location breadcrumbs,Breadcrumb with BreadcrumbList,Custom breadcrumb markup,"<Breadcrumb><BreadcrumbList><BreadcrumbItem>","<div>Home / Page</div>",Low,https://ui.shadcn.com/docs/components/breadcrumb,token-based,none,none,none,standard
20,Navigation,Use Tabs for content views,Accessible tab navigation,Tabs with TabsList + TabsContent,Custom tab implementation,"<Tabs><TabsList><TabsTrigger value='a'>Tab A</TabsTrigger></TabsList>","Custom div tab buttons",Medium,https://ui.shadcn.com/docs/components/tabs,token-based,none,none,agent-aware,standard
21,Overlay,Use Dialog for modals,Accessible modal dialog,Dialog with DialogTrigger + DialogContent,Custom modal div,"<Dialog><DialogTrigger><DialogContent>","<div className='modal fixed'>",Medium,https://ui.shadcn.com/docs/components/dialog,token-based,none,none,agent-aware,standard
22,Overlay,Use Sheet for side panels,Slide-out panel component,Sheet for detail views and mobile menus,Custom positioned aside,"<Sheet><SheetTrigger><SheetContent side='right'>","<div className='fixed right-0'>",Medium,https://ui.shadcn.com/docs/components/sheet,token-based,none,none,agent-aware,standard
23,Overlay,Use AlertDialog for confirmations,Require user confirmation,AlertDialog for destructive actions,window.confirm or custom modal,"<AlertDialog><AlertDialogTrigger>Delete</AlertDialogTrigger>","window.confirm('Delete?')",Medium,https://ui.shadcn.com/docs/components/alert-dialog,token-based,none,none,agent-aware,standard
