No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Dark Primary,Dark Secondary,Dark CTA,Dark Background,Dark Text,Dark Border,Gradient,Notes
1,SaaS (General),"saas, general, b2c, platform, subscription, cloud, tool",#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0,#3B82F6,#60A5FA,#F97316,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #2563EB; #3B82F6),"Trust blue primary builds credibility. Orange CTA for high-contrast conversion. WCAG AAA text. Dark mode: preserve blue identity; invert surfaces."
2,Micro SaaS,"micro-saas, indie, solo, mvp, lightweight, tool",#2563EB,#3B82F6,#F97316,#FFFFFF,#1E293B,#E2E8F0,#3B82F6,#60A5FA,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #2563EB; #60A5FA),"Clean white space maximizes trust. Vibrant primary for personality. Simple palette for fast dev."
3,E-commerce,"ecommerce, shop, store, retail, buy, sell, products",#3B82F6,#10B981,#F97316,#FFFFFF,#1E293B,#E2E8F0,#60A5FA,#34D399,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #3B82F6; #10B981),"Blue trust + green success = buy confidence. Orange CTA maximizes add-to-cart. Success green for order confirmation."
4,E-commerce Luxury,"luxury-commerce, premium, designer, high-end, boutique",#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1,#D4AF37,#8B7355,#FFD700,#0A0908,#FAF5EB,#2A2520,linear-gradient(135deg; #1C1917; #44403C),"Black + gold = premium. Minimal colors only. Let product imagery shine. Gold CTA for exclusivity."
5,Service Landing Page,"service, landing, page, hero, conversion, lead-gen",#3B82F6,#60A5FA,#F97316,#FFFFFF,#1E293B,#E2E8F0,#60A5FA,#93C5FD,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #3B82F6; #60A5FA),"Trust blue builds authority. Orange CTA for high-visibility form submissions. Clean white hero sections."
6,B2B Service,"b2b, enterprise, corporate, business, professional",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,#1E293B,#475569,#0EA5E9,#020617,#F1F5F9,#1E293B,linear-gradient(135deg; #0F172A; #1E293B),"Navy professionalism. Conservative palette signals stability. Blue CTA: demo/contact. Avoid playful colors."
7,Financial Dashboard,"financial, dashboard, finance, portfolio, banking-app, wealth",#3B82F6,#10B981,#F97316,#F8FAFC,#1E293B,#E2E8F0,#60A5FA,#34D399,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #1E3A8A; #3B82F6),"Trust blue primary. Green=#22C55E (gain). Red=#EF4444 (loss). Neutral bg for data density. Dark mode preferred by traders."
8,Analytics Dashboard,"analytics, dashboard, data, metrics, kpi, reporting",#6366F1,#818CF8,#F97316,#F8FAFC,#1E293B,#E2E8F0,#818CF8,#A5B4FC,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #4F46E5; #6366F1),"Indigo base for data-intelligence feel. Cool→warm gradients for heat data. Neutral grey for chart backgrounds."
9,Healthcare App,"healthcare, medical, health, patient, clinical, telemedicine, wellness",#0891B2,#22D3EE,#059669,#ECFEFF,#164E63,#A5F3FC,#06B6D4,#67E8F9,#10B981,#0C1B2D,#E0F2FE,#164E63,linear-gradient(135deg; #0891B2; #22D3EE),"Calm cyan = care/trust. Green CTA = health/proceed. Avoid red (medical anxiety). WCAG AAA required for healthcare."
10,Educational App,"education, learning, school, course, study, lms, academy",#4F46E5,#818CF8,#F97316,#EEF2FF,#1E1B4B,#C7D2FE,#6366F1,#A5B4FC,#FB923C,#1E1B4B,#EEF2FF,#312E81,linear-gradient(135deg; #4F46E5; #818CF8),"Playful indigo inspires learning. Orange CTA for enrollment. Category coding: each subject gets a unique accent."
11,Creative Agency,"creative, agency, design, studio, portfolio, branding",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,#F472B6,#F9A8D4,#22D3EE,#1C0A14,#FDF2F8,#4C1D3A,linear-gradient(135deg; #EC4899; #F472B6),"Bold pink = creative energy. Cyan CTA = differentiation. Allow artistic color freedom. Avoid safe/corporate colors."
